target_id,target_type,member_count,dimension,status,mapped_runs,supporting_runs,conflicting_runs,mixed_runs,inconclusive_runs,unavailable_runs,metric_refs,summaries
CONSENSUS_K6_C0001,consensus_cluster,23,biological_support,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0001,consensus_cluster,23,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0001,consensus_cluster,23,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0001,consensus_cluster,23,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0001,consensus_cluster,23,structural_adequacy,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0002,consensus_cluster,20,biological_support,supporting,2,2,0,0,0,6,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,"RNA pathway enrichment shows 3 significant pathways at q<0.05 (e.g., HALLMARK_MYC_TARGETS_V2 q=0.036) and mutation enrichment shows 2 significant features (e.g., validation::estimated_TMB q=0.047). || RNA pathway enrichment shows 3 significant pathways (q<0.05) including HALLMARK_MYC_TARGETS_V2 (q=0.0364) and mutation enrichment shows 2 significant features (q<0.05) including validation::estimated_TMB (q=0.0471)."
CONSENSUS_K6_C0002,consensus_cluster,20,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0002,consensus_cluster,20,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0002,consensus_cluster,20,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0002,consensus_cluster,20,structural_adequacy,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003,consensus_cluster,17,biological_support,supporting,2,2,0,0,0,6,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,"RNA pathway enrichment shows 29 significant pathways at q<0.05, including HALLMARK_HEME_METABOLISM (q=0.0) and HALLMARK_ALLOGRAFT_REJECTION (q=0.0), and WXS enrichment shows significant missense and TMB depletion (q=0.0137, q=0.0222), indicating distinct biological activity. || Mutation enrichment shows significant missense mutation depletion (q=0.0137) and lower TMB (q=0.0222); pathway enrichment shows opposite immune/inflammatory signatures (e.g., allograft rejection q=0.0)."
CONSENSUS_K6_C0003,consensus_cluster,17,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003,consensus_cluster,17,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003,consensus_cluster,17,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0003,consensus_cluster,17,structural_adequacy,conflicting,1,0,1,0,0,7,tool_results.tool_structural_adequacy.metrics.split_candidates,"Split candidate split:C0002:k2:p1 meets fused criteria (q=0.005) and has confirmation from CT (q=0.005), WSI (q=0.005), and RNA (q=0.02), but genomic does not (q=0.46). At least two original modalities confirm, so the current unsplit structure is structurally conflicting."
CONSENSUS_K6_C0004,consensus_cluster,17,biological_support,mixed,4,2,0,0,2,4,tool_results.tool_mutation_enrichment.metrics.per_set_wxs_feature_enrichment | tool_results.tool_pathway_enrichment.metrics.per_set_rna_pathway_enrichment,"RNA pathway enrichment shows 1 significant pathway (HALLMARK_WNT_BETA_CATENIN_SIGNALING, q=0.02505), indicating distinct biological activity. || Pathway enrichment shows HALLMARK_WNT_BETA_CATENIN_SIGNALING q=0.02505, and mutation PBRM1 has p=0.00696 (q=0.1949). || No significant enrichment at q<0.05 in mutation or pathway analyses; biological support remains inconclusive. || No significant mutation enrichment (q>0.05) and no significant RNA pathway enrichment (q>0.05) for these sets."
CONSENSUS_K6_C0004,consensus_cluster,17,cross_modal_consistency,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0004,consensus_cluster,17,confounder_exclusion,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0004,consensus_cluster,17,known_label_echo,unavailable,0,0,0,0,0,8,,
CONSENSUS_K6_C0004,consensus_cluster,17,structural_adequacy,unavailable,0,0,0,0,0,8,,
